PC1,PC2,Cluster,State
0.04726930639917298,0.19067190645050142,"(np.int64(0), np.int64(1))",Warning
0.04059437544082527,0.3623863411440953,"(np.int64(0), np.int64(1))",Warning
0.04950200634645554,0.511820318531396,"(np.int64(0), np.int64(0))",Normal
0.06495167621500578,0.8502911781792476,"(np.int64(1), np.int64(0))",Dangerous
0.028325937220128973,0.5469459116439825,"(np.int64(1), np.int64(1))",Dangerous
0.0421573018614972,0.37035253629950793,"(np.int64(0), np.int64(1))",Warning
0.06667861146922256,0.5161841599254039,"(np.int64(0), np.int64(0))",Normal
0.051229474716531165,0.31886706176322577,"(np.int64(0), np.int64(1))",Warning
0.03882359777215691,0.5652247237374223,"(np.int64(1), np.int64(1))",Dangerous
0.05870008431216774,0.5737224026171676,"(np.int64(1), np.int64(1))",Dangerous
0.02619318295243988,0.4030337699423753,"(np.int64(0), np.int64(1))",Warning
0.03147453896099768,0.6904803596259516,"(np.int64(1), np.int64(0))",Dangerous
0.0416487463068707,0.18233386049427375,"(np.int64(0), np.int64(1))",Warning
0.011289462373639703,0.48816737350847883,"(np.int64(0), np.int64(0))",Normal
0.021017161067679667,0.30005097230029726,"(np.int64(0), np.int64(1))",Warning
0.033499688885723036,0.6582854439184641,"(np.int64(1), np.int64(0))",Dangerous
0.02891958343123263,0.4700631339404559,"(np.int64(0), np.int64(0))",Normal
0.03961913621797619,0.3040389643836079,"(np.int64(0), np.int64(1))",Warning
0.034651266123869685,0.5513451342373246,"(np.int64(1), np.int64(1))",Dangerous
0.014567474708850371,0.5779679923968788,"(np.int64(1), np.int64(1))",Dangerous
0.06527393326874106,0.6388675398636825,"(np.int64(1), np.int64(1))",Dangerous
0.043239262529299057,0.5791228686970767,"(np.int64(1), np.int64(1))",Dangerous
0.05329917873153701,0.5216380314827775,"(np.int64(0), np.int64(0))",Normal
0.011541077558146963,0.44766768177074995,"(np.int64(0), np.int64(0))",Normal
0.017428079546582806,0.15737650851683865,"(np.int64(0), np.int64(1))",Warning
0.046559285974850095,0.47127353749438705,"(np.int64(0), np.int64(0))",Normal
0.036887581533799174,0.5818023515533954,"(np.int64(1), np.int64(1))",Dangerous
0.05654042635302261,0.601236151015378,"(np.int64(1), np.int64(1))",Dangerous
0.03577332414761485,0.43737530835025645,"(np.int64(0), np.int64(0))",Normal
0.03798146451654451,0.6864588009650245,"(np.int64(1), np.int64(0))",Dangerous
0.04154862374525248,0.316321318428049,"(np.int64(0), np.int64(1))",Warning
0.06895292688588506,0.6831928315938588,"(np.int64(1), np.int64(0))",Dangerous
0.04586634669890648,0.5696694875577496,"(np.int64(1), np.int64(1))",Dangerous
0.03081871391690081,0.3806900936719736,"(np.int64(0), np.int64(1))",Warning
0.06325740223471336,0.6269761226848249,"(np.int64(1), np.int64(1))",Dangerous
0.039406670784238554,0.4337456959994844,"(np.int64(0), np.int64(0))",Normal
0.05120362012350333,0.6675773065974036,"(np.int64(1), np.int64(0))",Dangerous
0.012991291488142799,0.7525645402763329,"(np.int64(1), np.int64(0))",Dangerous
0.024116701905578873,0.4315504817799824,"(np.int64(0), np.int64(0))",Normal
0.03567501844964549,0.4214620223467397,"(np.int64(0), np.int64(1))",Warning
0.048852114311355686,0.4394351879211864,"(np.int64(0), np.int64(0))",Normal
0.04474099176953067,0.6352602306923949,"(np.int64(1), np.int64(1))",Dangerous
